d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 0 | xxxx
d4 a0 | 1 | xxxx
d4 a0 | 1 | xxxx
d4 a0 | 1 | xxxx
d4 a0 | 1 | xxxx
d4 a0 | 1 | xxxx
d4 a0 | 1 | xxxx
d4 a0 | 1 | 00d4
d4 a0 | 1 | 00d4
d4 a0 | 1 | 00d4
d4 a0 | 0 | 00d4
d4 a0 | 0 | 00d4
d4 a0 | 0 | 00d4
d4 a0 | 0 | 00d4
d4 a0 | 0 | 00d4
d4 a0 | 0 | 006a
d4 a0 | 0 | 006a
d4 a0 | 0 | 006a
d4 a0 | 0 | 006a
d4 a0 | 0 | 0035
d4 a0 | 0 | 0035
d4 a0 | 0 | 0035
d4 a0 | 0 | 0035
d4 a0 | 0 | 501a
d4 a0 | 0 | 501a
d4 a0 | 0 | 501a
d4 a0 | 0 | 501a
d4 a0 | 0 | 280d
d4 a0 | 0 | 280d
d4 a0 | 0 | 280d
d4 a0 | 0 | 280d
d4 a0 | 0 | 6406
d4 a0 | 0 | 6406
d4 a0 | 0 | 6406
d4 a0 | 0 | 6406
d4 a0 | 0 | 3203
d4 a0 | 0 | 3203
d4 a0 | 0 | 3203
d4 a0 | 0 | 3203
d4 a0 | 0 | 6901
d4 a0 | 0 | 6901
d4 a0 | 0 | 6901
d4 a0 | 0 | 6901
d4 a0 | 0 | 8480
d4 a0 | 0 | 8480
d4 a0 | 0 | 8480
d4 a0 | 0 | 8480
d4 a0 | 0 | 4240
d4 a0 | 0 | 4240
d4 a0 | 0 | 4240
d4 a0 | 0 | 4240
d4 a0 | 0 | 2120
d4 a0 | 0 | 2120
d4 a0 | 0 | 2120
d4 a0 | 0 | 2120
d4 a0 | 0 | 1090
d4 a0 | 0 | 1090
d4 a0 | 0 | 1090
d4 a0 | 0 | 1090
d4 a0 | 0 | 0848
d4 a0 | 0 | 0848
d4 a0 | 0 | 0848
d4 a0 | 0 | 0848
